구분,일자,이슈,링크,참고사항
사고,0820,"포티넷, AI 보안 스타트업 버추 AI 인수해 에이전트 방어 강화
- 포티넷이 AI 런타임 보호와 자동화된 검증, AI 에이전트 보안 기능을 제공하는 기업 버추 AI를 인수했다.
- 이번 인수는 기업들이 AI를 도입하고 운영하는 과정에서 안전성을 높이기 위한 전략적 조치다.기업들이 AI 애플리케이션과 자율 에이전트를 도입하면서 공격 표면은 네트워크와 클라우드를 넘어 프롬프트, 모델, API, 인프라까지 확장됐다.",https://www.dailysecu.com/news/articleView.html?idxno=208127,
사고,0820,"씨큐비스타-노바인시큐, 전략적 파트너십 체결...공공·금융 보안 시장 공략
- 씨큐비스타가 보안 컨설팅 전문기업 노바인시큐와 전략적 파트너십을 체결하고 공공, 금융, 우주항공 등 국가기간산업 보안 시장 공략에 나선다.양사는 씨큐비스타의 네트워크 위협 탐지·대응(NDR) 플랫폼과 노바인시큐의 보안 전략 및 관리체계 컨설팅 역량을 결합하기로 했다.
- 이를 통해 실시간 위협 탐지와 침해 대응부터 보안 정책 수립까지 아우르는 통합 보안 서비스를 공동 개발한다.시장조사기관 마켓앤마켓에 따르면 글로벌 NDR 시장은 성장을 거듭하며 확대될 전망이다.",https://www.dailysecu.com/news/articleView.html?idxno=208125,
사고,0820,"오픈AI, 최신 AI 강화학습 2주간 중단…“사이버 공격 능력 커지자 안전장치 강화”
- 오픈AI(OpenAI)가 최신 프런티어 인공지능(AI) 모델의 사이버 공격 능력이 빠르게 높아지자 강화학습 훈련을 2주간 중단하고 내부 보안 체계를 대폭 강화했다.
- 최대 규모로 계획했던 프런티어 모델의 RL 훈련은 현재도 중단된 상태다.오픈AI는 8월 18일 공개한 자료에서 최근 AI 모델을 개발하고 시험하는 과정에서 위험이 커지고 있다고 판단해 모델 개발 속도를 일시적으로 늦췄다고 밝혔다.",https://www.dailysecu.com/news/articleView.html?idxno=208123,
사고,0820,"과기정통부·KISIA, 차세대 사이버보안 인재 발굴…정보보호 경진대회 성료
- 과학기술정보통신부(부총리 겸 장관 배경훈)와 한국정보보호산업협회(KISIA, 회장 김진수)가 차세대 사이버보안 인재 발굴을 위해 개최한 ‘2026 KISIA 정보보호 경진대회’가 8월 18일 서울 코엑스 마곡 르웨스트에서 본선을 끝으로 마무리됐다.이번 대회는 전국 대학생과 대학원생이 팀을 구성해 해킹 방어 실력을 겨루는 CTF(Capture The Flag) 방식으로 진행됐다.
- 총 163개 팀, 450여 명이 지원해 약 6.5대 1의 경쟁률을 기록했다.",https://www.dailysecu.com/news/articleView.html?idxno=208122,
동향,0820,"원니스코리아, ‘귀멸의 칼날·원피스’ 등 日 메가 IP로 글로벌 사업 전개
- [데이터넷] AI 콘텐츠 전문 기업 원니스코리아는 일본 3대 출판사의 메가 IP를 기반으로 글로벌 콘텐츠 사업을 추진한다.원니스코리아(대표 김진수)는 지난 19일 일본 슈에이샤(集英社) 본사에서 글로벌 콘텐츠 사업 협력을 체결해 슈에이샤, 쇼가쿠칸(小学館), 고단샤(講談社)가 보유한 캐릭터·콘텐츠 IP를 한국 및 글로벌 시장에서 활용하는 다양한 사업을 전개할 예정이다.원니스코리아는 3D 기술과 생성형 AI를 융합한 독자적인 ‘컨트롤러블 AI(Controllable AI)’ 파이프라인을 보유하고 있다.
- 해당 기술을 기반으로 신규 캐릭",https://www.datanet.co.kr/news/articleView.html?idxno=213923,
동향,0820,"구글, 마벨과 17조 규모 TPU 공동 개발 협력...추론 수요 폭증 대비
- 구글이 AI 데이터센터용 맞춤형 칩 경쟁력을 강화하기 위해 미국 반도체 기업 마벨 테크놀로지(Marvell Technology)와 협력을 대폭 확대한다.
- 19일(현지시간) 미국 증권거래위원회(SEC)에 제출한 공시에 따르면, 마벨은 구글과 TPU 관련 맞춤형 반도체 제품을 공동 개발하기로 했다.또 마벨은 구글에 주당 206.58달러에 최대 5897만907주의 보통주를 매입할 수 있는 신주인수권을 발행했다.",https://www.aitimes.com/news/articleView.html?idxno=214153,
동향,0820,"“데이터 분석, 맥락 없인 무용지물 ··· 에이전틱 분석으로 ‘행동’까지 잇는다”
- [데이터넷] “데이터와 분석은 맥락 없이는 무용지물이다.
- 사람의 정상 체온이라는 맥락이 없다면 섭씨 45도를 정상이라고 생각할 수도 있다.",https://www.datanet.co.kr/news/articleView.html?idxno=213915,
동향,0820,"비트고코리아, 국내 기관용 디지털자산 인프라 사업 본격화
- [데이터넷] 글로벌 디지털자산 인프라 기업 비트고(BitGo)의 한국 법인 비트고코리아는 금융정보분석원(KoFIU)으로부터 가상자산사업자(VASP) 신고 수리를 통보받았다고 밝혔다.이는 특정금융정보법상 가상자산사업자 신고제 시행 이후, 글로벌 디지털자산 기업이 국내 시장 진출을 목적으로 신규 법인을 설립해 VASP 신고 수리를 받은 첫 사례다.이번 수리에 따라 비트고코리아는 국내외 법인 고객을 대상으로 ▲가상자산 이전 ▲가상자산 보관·관리 ▲가상자산 매도·매수 및 다른 가상자산과의 교환에 대한 중개·알선·대행 영역에서 업무를 수행하",https://www.datanet.co.kr/news/articleView.html?idxno=213921,
동향,0820,"LGU+, AI 통합 건물 관리 솔루션 'AI빌딩넷 by 익시' 출시
- LG유플러스(대표 홍범식)는 AI 기반 건물 관리 솔루션 'AI빌딩넷 by 익시(ixi)'를 출시했다고 20일 밝혔다.AI빌딩넷 by 익시는 AI와 유무선 통신 기술을 결합한 차세대 건물 관리 솔루션이다.
- 건물 내 센서, CCTV, 로봇 등 다양한 IoT 기기를 AI와 연동해 데이터를 통합·수집·분석하고 이를 기반으로 시설 운영 효율화와 이용자 경험 개선을 지원한다.첫 적용 영역으로는 시니어 케어 시설 전용 솔루션 '웰니스노트'를 선보였다.",https://www.aitimes.com/news/articleView.html?idxno=214167,
동향,0820,"중국, 엔비디아 'H200' 소량 수입 승인...바이트댄스·텐센트 1만대씩 수령
- 중국 정부가 미국 엔비디아의 AI 가속기 'H200'의 중국 본토 반입을 일부 허용하기 시작했다.
- 19일(현지시간) 파이낸셜타임스에 따르면, 중국 규제당국은 최근 바이트댄스와 텐센트에 각각 1만개의 H200 프로세서 반입을 승인했다.두 회사는 최근 몇 주 동안 물량을 공급받은 것으로 알려졌다.",https://www.aitimes.com/news/articleView.html?idxno=214164,
