구분,일자,이슈,링크,참고사항
동향,0810,"KOSA·KOEMA 업무협약 체결, 전기산업에 AI 입힌다
- 한국인공지능·소프트웨어산업협회(KOSA)와 한국전기산업진흥회(KOEMA)가 전기 산업 분야 인공지능(AI) 전환(AX)을 위해 협력한다.
- 양 기관은 지난 7일 서울 송파구 협회 본원에서 전기산업 분야 AX 확산과 산업 AI 인재양성을 위한 업무협약(MOU)을 체결했다.",https://www.etnews.com/20260810000461,
동향,0810,"메타코어글로벌 ‘아울렌즈 V432’, SAP 운영 전반 아우르는 통합 옵저버빌리티 플랫폼
- [데이터넷] ERP는 기업의 모든 비즈니스 데이터와 프로세스, 노하우가 집결되는 ‘기업의 두뇌’다.
- SAP가 지난 5월 ‘SAP 사파이어 2026’에서 AI를 결합한 ‘자율형 기업(Autonomous Enterprise)’을 새로운 비전으로 제시하며 ERP의 역할을 ‘기록 시스템(System of Record)’에서 업무를 스스로 수행하는 ‘실행 시스템(System of Execution)’으로 확장하겠다고 선언한 것도 ERP가 기업 운영의 중심 역할을 담당하고 있다는 점을 보여준다.다만 자율 실행을 논하기에 앞서 그 토대가 되는",https://www.datanet.co.kr/news/articleView.html?idxno=213660,
동향,0810,"“AI 3만7000개가 제약회사처럼 협업”…스탠포드, ‘가상 바이오테크’로 신약 자율 설계
- 스탠포드대학교 연구진이 3만7000개의 전문 AI 에이전트가 실제 제약회사처럼 협업하는 ‘가상 바이오테크(Virtual Biotech)’를 구축하고, 이를 활용해 신약 후보물질을 설계하는 데 성공했다.
- 제임스 저우 스탠포드대 생의학 데이터과학 부교수는 6일(현지시간) 열린 ‘벤처비트(VB) 트랜스폼 2026’에서 기존의 ‘한 명의 엔지니어가 하나의 AI 에이전트를 사용하는’ 방식에서 벗어나 앞으로는 수천~수만 개의 전문 에이전트가 하나의 조직처럼 협업하는 구조가 AI 연구의 새로운 단계가 될 수 있다고 설명했다.저우 연구팀의 프로젝",https://www.aitimes.com/news/articleView.html?idxno=213747,
동향,0810,"엔비디아, 전이중 음성 AI에 도구 호출 이식... '네모트론랩스 보이스챗 11B' 오픈 공개
- 엔비디아도 최근 트렌드로 떠오른 전이중(Full-Duplex) 방식의 음성 AI 모델을 오픈웨이트로 공개했다.
- 특히 대화 중 외부 API나 기능을 호출하는 도구 호출(Tool Calling)까지 지원해 음성 기반 AI 에이전트 개발을 겨냥했다.엔비디아는 3일(현지시간) 110억개의 매개변수를 갖춘 '네모트론랩스 보이스챗 11B(NemotronLabs VoiceChat 11B)'를 공개했다.허깅페이스를 통해 오픈웨이트로 제공되는 이 모델은 실시간 음성 대화를 위해 설계됐으며, 사용자가 말을 끝낼 때까지 기다리는 기존 음성 비서와 달리",https://www.aitimes.com/news/articleView.html?idxno=213764,
동향,0810,"‘공룡쟁투’ 화석, AI 영화로 재탄생…“8000만년 전 자연사, 3D 데이터로 복원”
- AI로 제작한 공룡 다큐멘터리 영화 ‘백악기 공룡쟁투’가 국내 극장에서 최초로 공개된 데 이어, 몽골국립자연사박물관에도 전시될 전망이다.SC전시문화(대표 김영옥)는 박진호 한국과학기술원(KAIST) 김재철AI대학원 초빙교수(총괄감독)와 AI 다큐영화 ‘백악기 공룡쟁투’를 제작했다고 10일 밝혔다.세계 최초로 100% AI만을 활용해 제작한 공룡 다큐멘터리 영화라고 강조했다.
- 서울특별시교육청교육연수원이 지난 7월14일 서울 가빈아트홀에서 개최한 2026 우면골 아카데미 특별기획 직무연수인 ‘AI 시대, 미래교육 리더십을 그리다’ 현장",https://www.aitimes.com/news/articleView.html?idxno=213769,
동향,0810,"에이전트 폭증에 GPU 이어 CPU도 비상...AWS ""내부 낭비 줄여라""
- AI 에이전트 확대로 데이터센터의 컴퓨팅 수요가 GPU에서 전통적인 CPU로까지 번지면서 글로벌 클라우드 업계의 ‘컴퓨팅 부족’ 현상이 심화하고 있다.
- 세계 최대 클라우드 사업자 중 하나인 아마존웹서비스(AWS) 내부에서도 서버 용량을 아껴 써야 할 정도로 공급 여력이 빠듯해지고 있다는 분석이다.7일(현지시간) 디 인포메이션에 따르면, AWS 경영진은 지난 5월 엔지니어들과의 회의에서 앞으로 고객들에게 충분한 컴퓨팅 용량을 제공하기 위해 내부적으로 사용할 수 있는 자원을 최대한 절약해야 한다고 당부했다.여기에는 AI용 GPU뿐만 아",https://www.aitimes.com/news/articleView.html?idxno=213735,
동향,0810,"[정보통신 미래모임]AI에 예산 몰리고, 인증 부담 커지고…기업들 사업화 '고심'
- 정부 연구개발(R&D)의 사업화 한계와 인공지능(AI) 예산 쏠림, 공공시장 진입을 위한 인증 부담을 둘러싼 기업들의 문제 제기가 '정보통신 미래를 생각하는 모임'(정보통신미래모임)에서 쏟아졌다.
- 정부 지원을 받는 것보다 개발한 기술을 실제 서비스와 매출로 연결하는 과정이 더 어렵다는 지적이다.",https://www.etnews.com/20260810000188,
동향,0810,"[정보통신 미래모임] “공고 뜬 뒤엔 늦다”…정부사업, 정책수요부터 읽어야
- 정부사업에 참여하려는 기업은 공고가 나오기 전부터 준비해야 한다는 제언이 나왔다.
- 정부가 어떤 문제를 해결하려는지 먼저 파악하고, 기업의 기술을 이에 맞춰 제시해야 한다는 것이다.",https://www.etnews.com/20260810000185,
동향,0810,"[사설] 토스 '보안독립', 금융권 변화 시금석
- 토스가 그동안 사용해 오던 외국산 상용 보안솔루션을 전면 교체하면서 자체 개발한 SASE(보안 프레임워크) 기반 솔루션 '타이탄(Titan)'을 그룹 전사에 전면 도입한다고 한다.
- 기존 써오던 글로벌 보안기업 제품을 더이상 쓰지 않고 모든 업권별 금융계열사에 순차 확대 적용할 방침이다.",https://www.etnews.com/20260810000346,
동향,0810,"[인터뷰] 위장영 한국오라클 부사장 “최대 50% 비용 절감에 풀스택 AI 역량…엔터프라이즈 AI 시장 본격 공략”
- 한국오라클이 인공지능(AI) 전환(AX) 물결 속에서 엔터프라이즈 AI·클라우드 플랫폼으로 입지를 강화한다.
- 특히 비용 효율성과 AI 데이터 플랫폼을 무기로 시장 공략에 속도를 낸다는 전략이다.",https://www.etnews.com/20260810000278,
동향,0810,"공급망 공격 최대 사이버 위협 부상...협력사까지 하나의 보안체계로 관리해야
- 기업의 실제 운영환경은 클라우드와 소프트웨어, 데이터 처리, 시스템 유지보수, 고객서비스를 담당하는 외부 기업과 연결돼 있다.
- 협력사는 기업의 시스템과 데이터에 접근하며, 외부에서 개발한 소프트웨어와 업데이트도 내부 업무에 이용된다.",https://www.gttkorea.com/news/articleView.html?idxno=26637,
동향,0810,"AI 확장 프로그램 16.3%에서 취약점 발견...기업, 섀도우 AI·자율 에이전트 통제 시급
- 생성AI가 기업 업무에 결합되면서 데이터가 이동하는 경로도 달라지고 있다.
- 파일이나 이메일 단위로 전달되던 정보가 프롬프트와 복사&middot;붙여넣기, 문서 업로드를 거쳐 여러 AI 서비스로 분산된다.",https://www.gttkorea.com/news/articleView.html?idxno=26636,
동향,0810,"엣지 AI 성능 병목, 맞춤형 ‘스토리지 파운드리’로 해결해야 한다
- AI가 클라우드를 넘어 스마트폰과 AI PC, AI 에이전트 호스트 등 엣지 기기로 확산되고 있다.
- 엣지 AI는 데이터를 기기에서 직접 처리해 응답속도와 데이터 관리 효율을 높일 수 있지만, 제한된 전력과 공간 안에서 대규모 AI 모델을 실행해야 한다.",https://www.gttkorea.com/news/articleView.html?idxno=26635,
동향,0810,"AI가 우리 회사를 어떻게 보여줄까...브랜드 노출·표현·신뢰도 통합 진단
- 기존 검색엔진은 이용자의 질문과 관련된 웹페이지 목록을 제시한다.
- 이용자는 제목과 설명을 비교해 방문할 사이트를 직접 선택한다.",https://www.gttkorea.com/news/articleView.html?idxno=26634,
동향,0810,"AI 에이전트 중요 행동, 사람 승인 후 실행...담당자·처리 시각까지 기록
- AI 에이전트의 역할이 정보 생성에서 고객 이메일 발송과 청구서 작성, 지급 지시 등 실제 업무 실행으로 확대되고 있다.
- AI가 만든 결과가 고객 관계나 재무&middot;법률 업무에 영향을 미치면 기업은 결과의 정확성뿐 아니라 실행 권한과 승인 책임도 관리해야 한다.",https://www.gttkorea.com/news/articleView.html?idxno=26629,
