구분,일자,이슈,링크,참고사항
사고,0909,"그룹아이비, 2026년 랜섬웨어 보고서 발표...조직 독립화와 AI 활용 가속화
- 디지털 범죄 조사 및 보안 기업 그룹아이비가 자사의 위협 인텔리전스를 기반으로 2026년 랜섬웨어 생태계 주요 변화를 분석한 보고서를 발표했다.올해 랜섬웨어 생태계는 기존 소수 대형 서비스형 랜섬웨어(RaaS) 중심에서 벗어나 공격 조직의 독립화와 경쟁 조직 간 통합이 빠르게 진행되고 있다.
- 기업 네트워크 접근권 시장은 공개 거래에서 가치가 높은 비공개 프리미엄 거래 중심으로 재편되었다.",https://www.dailysecu.com/news/articleView.html?idxno=208383,
사고,0820,"KISA VIEW EP12 | 휴가 떠나기 전, 이것만은 꼭 확인하세요!
- 공용 와이파이에 무심코 접속하고,
- 항공권 결제 문자를 확인하고,",https://www.youtube.com/shorts/sIjv4f5aYs8,
동향,0909,"메가존클라우드, 최신 기준 통과하며 AWS 보안 컴피턴시 획득
- 메가존클라우드가 아마존웹서비스(AWS)로부터 'AWS 보안 컴피턴시'를 획득했다.AWS 보안 컴피턴시는 클라우드 보안 분야에서 전문 기술력과 컨설팅 역량을 갖춘 파트너에게 부여되는 인증이다.
- 복잡한 보안 프로젝트를 안전하게 설계하고 구축·운영할 수 있는지를 종합적으로 검증한다.",https://www.dailysecu.com/news/articleView.html?idxno=208390,
동향,0909,"블럭스, 차세대 CRM 실행 전략 공개
- [데이터넷] AI CRM 마케팅 에이전트 기업 블럭스(Blux)는 브랜드 마케터 및 CRM 실무진을 대상으로 세미나를 개최하고, AI 에이전트를 활용한 차세대 CRM 실행 전략을 공개했다.이번 세미나는 ‘고객이 사랑하는 브랜드에는 OO이 있다’를 주제로, 단순 단발성 메시지 발송을 넘어 고객과 장기적인 재구매 관계를 구축하는 방안을 모색하기 위해 마련됐다.
- 현장에는 브랜드의 리텐션 및 고객생애가치(LTV) 극대화를 고민하는 마케터 및 업계 관계자 50여 명이 참석해 높은 관심을 보였다.발표에 나선 김태호 블럭스 고객 성공 컨설턴트는",https://www.datanet.co.kr/news/articleView.html?idxno=214378,
동향,0909,"테크타카, ‘2026 물류AX 세미나’ 참가 ··· 기술 기반 물류센터 운영 혁신 모델 발표
- [데이터넷] 글로벌 통합 물류 플랫폼 ‘아르고(ARGO)’를 운영하는 테크타카(대표 양수영)는 오는 11일 킨텍스에서 열리는 ‘2026 물류AX 세미나’에 연사로 참여한다고 밝혔다.‘제6회 국제 운송·공급망관리 산업전(SCM FAIR 2026)’의 부대행사로 마련된 2026 물류AX 세미나는 ‘AI·데이터·자동화·로봇으로 재설계하는 물류 운영 혁신’을 주제로 물류 산업을 이끄는 기업 관계자들이 연사로 참여해 물류 혁신 사례와 인사이트를 공유할 예정이다.연사로 나서는 강상욱 테크타카 사업개발실장은 ‘아르고 센터 플렉스(ARGO Cen",https://www.datanet.co.kr/news/articleView.html?idxno=214377,
동향,0909,"농경지 벌까지 잡아낸 AI…한국공학대, 연구진 국제 대회서 최종 2위
- 한국공학대학교는 이익현 교수와 교원창업기업 아이케이랩 연구진이 농경지의 수분매개 곤충을 탐지하는 국제 인공지능(AI) 경진대회에서 최종 2위에 올랐다고 9일 밝혔다.
- 연구진이 참가한 대회는 유럽컴퓨터비전학술대회(ECCV) 2026 연계 워크숍인 제11회 '식물 표현형 및 농업 컴퓨터비전(CVPPA)'의 '버즈스폿 챌린지(BuzzSpot Challenge)'다.",https://www.etnews.com/20260909000397,
동향,0909,"펜타시큐리티, 중동 보안 전시회 'GISEC 글로벌 2026' 참가
- 펜타시큐리티가 오는 16일부터 18일까지 아랍에미리트 두바이 엑스포시티에서 열리는 사이버보안 전시회 'GISEC 글로벌 2026'에 참가한다.올해 행사는 '사이버 퍼스트: 새로운 디지털 질서'를 주제로 열리며 인공지능 기반 위협과 클라우드 보안, 양자 컴퓨팅 보안을 핵심 의제로 다룬다.
- 펜타시큐리티는 행사장에 단독 부스를 마련하고 웹 애플리케이션 보안과 데이터 암호화 제품군을 선보인다.지능형 웹방화벽인 '와플'은 자체 개발 논리연산 탐지 엔진인 'COCEP'을 기반으로 인공지능을 악용한 자동화 공격과 악성 봇을 탐지한다.",https://www.dailysecu.com/news/articleView.html?idxno=208385,
동향,0909,"코스닥 입성 앞둔 ‘와이즈플래닛컴퍼니’, 글로벌 카테고리 브랜드 리더로 도약
- [데이터넷] ‘닥터피엘’, ‘누잠’ 등 카테고리 리더 브랜드를 보유한 와이즈플래닛컴퍼니(대표 주경민)가 코스닥 상장을 발판으로 글로벌 카테고리 브랜드 리더로 도약에 나선다.2013년 설립된 와이즈플래닛컴퍼니는 마케팅 전문성을 바탕으로 다양한 카테고리에서 리더 브랜드를 반복 창출해 온 '브랜드 빌더’다.
- 대표 브랜드인 ▲프리미엄 워터케어 ‘닥터피엘(누적 매출 2200억원)’을 비롯해 ▲수면 솔루션 ‘누잠(누적 매출 860억원)’ ▲하이브리드 코스메틱 ‘아이레놀(누적 매출 190억원)’ 등을 성공리에 시장에 안착시켰다.와이즈플래닛컴퍼니",https://www.datanet.co.kr/news/articleView.html?idxno=214374,
동향,0909,"“AI가속기+전력비율로 AIDC 규정”…업계 “학습·서비스용 기준 달라야”
- 정부가 인공지능데이터센터(AIDC)를 인공지능(AI) 가속기와 이를 운전할 전용 전력·냉각설비를 갖추고, 전체 장비전력 중 인공지능 장비전력의 비율이나 규모가 일정 기준을 넘는 설비로 규정했다.
- 업계에서는 학습용·서비스(추론)용 등 용도별로 관련 기준을 달리 적용하고, AI 가속기 이동 시 적용되는 규정 등 세부 사항도 함께 마련돼야 한다는 지적이 나왔다.",https://www.etnews.com/20260909000387,
동향,0909,"미국, 딥시크·문샷 등 중국 AI 기업 6곳 비난...""미국 기술 악의적 복제""
- 미국 정부가 중국 AI 기업들이 미국 AI 기업의 기술을 ‘증류(distillation)’ 방식으로 악의적으로 복제하고 있다며 공개적으로 비난했다.
- 이달 말 양국 정상회담을 앞두고 터져 나온 이번 발표로 인해 양국 간 AI 기술 경쟁과 지식재산권 갈등이 더 격화할 가능성이 제기된다.로이터에 따르면, 미국 법 집행 및 정보기관 관계자들은 8일(현지시간) 중국 AI 기업 6곳이 미국 AI 연구소의 지식재산을 활용해 자체 AI 모델을 더 빠르게 개발하고 있다고 주장했다.지목된 기업에는 딥시크, 문샷AI, 알리바바, 미니맥스, 스텝펀, 지",https://www.aitimes.com/news/articleView.html?idxno=215064,
