구분,일자,이슈,링크,참고사항
사고,0911,"마이크로소프트 “서비스나우 송장 사기 메일, 3일간 100만건 발송”
- [데이터넷] 기업 경영진을 사칭해 약 5만달러의 서비스나우 연간 구독료를 승인했다며 ACH(자동결제망) 이체를 지시하는 악성 메일 공격이 8월 3일부터 5일까지 100만건 이상 발생했다.
- 공격의 87.7%는 미국 사용자에게 전송됐으며, AI를 사용해 수신자별로 맞춤형 이메일을 제작한 것으로 분석됐다.마이크로소프트는 이 사건의 분석 보고서를 10일(현지시각) 공개하며 “기존의 송장 사기 수법은 한 가지 사회공학 기법을 사용했지만, 이번 캠페인은 경영진 사칭과 공급업체 위장, 조작된 송장, 가짜 이메일 대화 등 다양한 수법을 사용했다.",https://www.datanet.co.kr/news/articleView.html?idxno=214416,
사고,0910,"제34화 '고치는 건 누구 일?'
- 데일리시큐는 7월부터 장삼봉 작가(필명)의 정보보안 소설《로그아웃되지 않는 밤》을 매주 4편씩 연재한다.
- 화려한 디지털 서비스 뒤에서 보이지 않는 위협과 맞서는 보안 담당자들의 현실과 고뇌, 성장을 생생하게 담았다.",https://www.dailysecu.com/news/articleView.html?idxno=208403,
동향,0911,"캘리포니아, 16세 미만 소셜미디어 중독 기능·AI 챗봇 규제법 서명
- 미국 캘리포니아주가 미성년자의 소셜미디어와 AI 챗봇 이용을 규제하는 강력한 온라인 안전 법안을 마련했다.
- 소셜미디어의 중독성 기능을 제한하고 AI 챗봇이 인간이 아닌 AI임을 고지하도록 하는 등 아동·청소년을 겨냥한 디지털 안전장치를 대폭 강화하면서 미국 내 온라인 규제의 새로운 기준을 제시했다는 평가가 나온다.개빈 뉴섬 캘리포니아 주지사는 10일(현지시간) 미성년자 온라인 안전과 디지털 개인정보 보호 등을 강화하는 13개 법안에 서명했다.뉴섬 주지사는 강력한 알고리즘으로부터 부모 혼자 자녀를 보호하기는 어렵다며 법안 서명을 두고",https://www.aitimes.com/news/articleView.html?idxno=215153,
동향,0911,"스페이스X, 데이터센터 구축 방식 바꾼다…‘속도’보다 안정성에 무게
- 스페이스X가 AI 데이터센터 구축에서 속도보다 안정성을 중시하는 방식으로 전략을 바꾸고 있다.
- 기존에는 데이터센터를 빠르게 늘리는 데 집중했다면, 최근에는 전력·냉각 백업 시스템을 사전에 갖추고 운영 전 테스트를 강화하는 방향으로 전환하고 있다.디 인포메이션은 10일(현지시간) 복수의 관계자를 인용, 스페이스X가 테네시와 미시시피 등에서 진행 중인 데이터센터 건설 방식을 재설계하고 있다고 보도했다.스페이스X는 올해 초 인수한 xAI의 데이터센터 구축 경험을 바탕으로, GPU 확보와 시설 가동을 최대한 앞당기는 기존 방식을 이어왔다.",https://www.aitimes.com/news/articleView.html?idxno=215169,
동향,0911,"더존비즈온, 부산 'K-ICT 위크' 참가…AX 핵심 솔루션 소개
- 더존비즈온은 지난 9일부터 11일까지 3일간 부산 벡스코 제1전시장에서 열린 'K-ICT 위크 인 부산 2026'에 참가했다고 11일 밝혔다.
- 더존비즈온은 이번 행사에서 컨퍼런스 발표와 체험형 전시부스를 운영하며 핵심 인공지능(AI) 솔루션이 접목된 고도화된 기업용 플랫폼 라인업을 집중 소개했다.",https://www.etnews.com/20260911000271,
동향,0911,"엔키화이트햇 “금융권 보안, AI 기반 상시 자동 점검 필요”
- 엔키화이트햇은 11일 서울 여의도 FKI타워에서 열린 '제5회 금융보안워크숍'에서 금융권 레드티밍 사례를 바탕으로 인공지능(AI) 사이버 위협 대응 방안을 제시했다.
- 정시헌 엔키화이트햇 VA센터장은 '금융권 레드티밍 사례를 통한 AI 위협 대응 방안'을 주제로 발표하며 단순 취약점 발견을 넘어 실제 시스템에서 공격이 어디까지 가능한지 검증하는 '실전 검증'의 중요성을 강조했다.",https://www.etnews.com/20260911000252,
동향,0911,"앤트로픽의 2030 경제 경고 ""AI 성장의 결실, 노동 아닌 자본으로 몰릴 것""
- AI가 미국 경제의 미래 성장률과 고용 구조에 미칠 영향을 다각도로 분석한 정교한 시나리오 분석 모델이 공개됐다.
- 앤트로픽은 AI 도입 속도에 따라 GDP가 폭발적으로 증가하는 동시에 지식 노동자의 실업률이 급등하는 극단적 격차가 발생할 수 있다고 지적했다.앤트로픽 경제 연구팀은 9일(현지시간) AI 도입에 따라 2030년까지 미국 경제가 맞이할 수 있는 3가지 시나리오를 공개했다.",https://www.aitimes.com/news/articleView.html?idxno=215164,
동향,0911,"구글 AI는 왜 질문을 쪼개는가(상) ··· 쿼리 팬아웃 시대 PR 전략
- [데이터넷] 이번 칼럼은 상·하편으로 나눠 구글 AI 검색의 ‘쿼리 팬아웃’이 언론홍보에 가져올 변화와 실전 대응 전략을 살펴본다.
- 상편에서는 쿼리 팬아웃의 개념과 달라지는 PR 환경을 짚고 4가지 핵심 전략을 먼저 소개한다.",https://www.datanet.co.kr/news/articleView.html?idxno=214432,
동향,0911,"문샷, 홍콩 이어 상하이 스타마켓 이중 상장 타진...자금 조달 확대 박차
- 문샷 AI가 자금 조달 확대와 기업 인지도 제고를 위해 홍콩과 상하이 증시에 잇따라 상장하는 방안을 검토하고 있는 것으로 알려졌다.
- 대규모 자금이 필요한 AI 기업들이 잇따라 기업공개(IPO)에 나서는 가운데, 문샷도 홍콩 상장을 시작으로 중국 본토 시장까지 활용하는 방안을 저울질하는 모습이다.사우스차이나모닝포스트 10일(현지시간) 정통한 소식통을 인용, 문샷이 홍콩과 상하이 증시의 이중 상장을 검토하고 있다고 보도했다.문샷은 지난 7월 투자자들과 회의를 열고 홍콩 IPO를 위한 구체적인 계획을 논의한 것으로 전해졌다.",https://www.aitimes.com/news/articleView.html?idxno=215147,
동향,0911,"“AI 팩토리 시대, OT 보안은 디바이스·시스템·가시성 함께 봐야”
- [데이터넷] 여의시스템이 AI 팩토리 확산으로 제조·산업 현장의 연결성이 높아지면서 운영기술(OT) 환경에서도 디바이스와 네트워크, 시스템 전반을 함께 고려한 보안 전략이 필요하다고 강조했다.여의시스템은 지난 8일 ‘연결될수록 위험하다, AI 팩토리 시대의 OT 보안 전략’을 주제로 OT 네트워크 보안 웨비나를 열고 국제표준 IEC 62443를 기반으로 한 산업 네트워크 보안 전략과 구축 방안을 소개했다.이날 웨비나에는 유익준 여의시스템 기술영업 네트워크파트 매니저와 박진수 기술서비스팀 네트워크서비스파트 파트장이 연사로 참여했다.유",https://www.datanet.co.kr/news/articleView.html?idxno=214431,
