구분,일자,이슈,링크,참고사항
사고,0807,"[롯데카드 CISO 제재 파문-①] 총알받이 전락한 CISO... 금융권 보안 인재 엑소더스 시작되나?
- 금감원, 롯데카드 해킹 사태 관련 정보보호 책임자 고강도 제재...
- 보안 인력 동요정보보호 사고 특성 무시, 모든 과실 개인에 전가“보안은 개인 아닌 조직 전체의 거버넌스 과제”[보안뉴스 조재호 기자] 금융감독원이 지난해 발생한 297만명 규모의 고객 개인신용정보 유출 사고와 관련해 롯데카드 전현직 정보보호최고책임자(CISO)에게 정직 3개월 등 중징계를",http://www.boannews.com/media/view.asp?idx=145052&kind=&sub_kind=,
사고,0807,"[DEF CON 34] 에이전트들만의 해킹대회 열린다... AI로 물드는 데프콘
- 최초의 에이전트 자율 해킹대회 ‘HalCTF’ “거의 모든 해커 AI 활용”...
- CTF 예선서 제한 룰[라스베이거스=보안뉴스 강현주 기자] 사람 없이 AI 에이전트들끼리 해킹대회에서 실력을 겨룬다.",http://www.boannews.com/media/view.asp?idx=145058&kind=&sub_kind=,
동향,0807,"[ISEC 2026 미리보기] LG유플러스, 제로트러스트 기반 통신사 네이티브 보안 서비스 지속 확대
- 알파키 CSAP 인증 획득 이어 U+SASE 정식 출시...
- Identity와 SASE 양축으로 제로트러스트 보안 강화U+SASE, 지난해 MVP 출시 통해 시장·기술 검증 완료...",http://www.boannews.com/media/view.asp?idx=144951&kind=&sub_kind=,
동향,0807,"[알림] '제1회 AI 이미지 챌린지' 공모전 개최
- 서울AI재단과 전자신문, 한국사진기자협회는 오는 10월 6일(화)부터 8일(목)까지 서울 코엑스에서 열리는 '스마트라이프위크(SLW) 2026'과 연계해 '제1회 AI 이미지 챌린지' 공모전을 공동 개최합니다.
- 공모 대상은 전국 20세 이상 성인이며, 접수는 8월 1일부터 9월 7일까지입니다.",https://www.etnews.com/20260807000086,
동향,0807,"어도비, 챗GPT용 통합 플러그인 출시
- [데이터넷] 어도비가 크리에이티브와 생산성 툴을 하나로 통합한 ‘챗GPT 내 어도비 플러그인(Adobe plugin in ChatGPT)’을 출시했다고 7일 밝혔다.
- 챗GPT 내 어도비 플러그인은 챗GPT 워크와 코덱스에서 사용할 수 있다.",https://www.datanet.co.kr/news/articleView.html?idxno=213615,
동향,0807,"핑거, ‘미켈로로보틱스’ 인수 ··· ‘피지컬 AI’ 시장 출사표
- [데이터넷] 핀테크 기업 핑거(대표 안인주)가 산업용 로봇 지능화 기업 미켈로로보틱스를 160억원에 인수하는 계약을 체결하고 피지컬 AI 시장에 진출한다.이번 계약은 미켈로로보틱스 박장준 대표 등이 보유한 구주 50만 주를 사들이는 방식으로 이뤄진다.
- 박 대표를 비롯한 핵심 인력 3인은 책임 경영을 위해 3자 배정 유상증자를 통해 각 20억원씩 총 60억원을 핑거에 재투자하기로 했다.",https://www.datanet.co.kr/news/articleView.html?idxno=213618,
동향,0807,"클라이온, 김주성 신임 대표이사 겸 총괄사장 선임
- [데이터넷] AI 클라우드 전문기업 클라이온은 김주성 전 가온아이 전략사업부 CSO를 신임 대표이사 겸 총괄사장으로 선임하고, AX 사업 확대와 경영 성장을 본격화한다고 밝혔다.김주성 신임 대표이사 겸 총괄사장은 KT와 kt 클라우드에서 약 28년간 근무하며 클라우드 사업의 기획과 전략, 기술개발, 영업 및 조직 운영을 두루 경험한 국내 대표적인 AI·클라우드 분야 전문가다.
- 최근에는 가온아이 전략사업부 CSO로서 AI 에이전트 사업과 클라우드 네이티브 전환사업 등 신규 사업의 전략 수립과 사업 확대를 담당했다.김 대표는 대통령 직",https://www.datanet.co.kr/news/articleView.html?idxno=213616,
동향,0807,"오픈웨이트 AI 한 번 학습해 위험 능력 선택·제외...학습 연산량 5분의 1
- 오픈웨이트(Open-Weights) AI 모델은 개발자가 가중치를 내려받아 자체 환경에서 실행하고 수정할 수 있다.
- 연구와 산업 활용 범위를 넓힐 수 있지만, 배포 후에는 개발사가 이용 방식과 안전장치를 직접 통제하거나 모델을 회수하기 어렵다.",https://www.gttkorea.com/news/articleView.html?idxno=26610,
동향,0807,"“개인정보 유출 사고, 가상자산 보유자 물리적 폭력으로 이어져”
- [데이터넷] 가상자산 보유자를 노린 개인정보 유출 사고가 피해자를 대상으로 한 온라인 해킹과 사기를 넘어 납치·주거침입 등 물리적 위협으로 확대되고 있다.
- 특히 최근 가상자산 거래소 해킹이 잇따르면서 개인이 직접 가상자산을 보유하는 트렌드가 나타나고 있어 대규모 가상자산 보유자를 대상으로 공격하는 것으로 보인다.체이널리시스의 ‘폭력형 가상자산 범죄(Violence Against Crypto Owners)’에 따르면, 올해 상반기 전 세계에서 발생한 ‘렌치 공격(Wrench Attack)’으로 탈취된 가상자산 규모는 3000만 달러(",https://www.datanet.co.kr/news/articleView.html?idxno=213617,
동향,0807,"베슬AI, GPU 클라우드 서비스 ‘베슬 클라우드’ 강화
- [데이터넷] AI 인프라 전문기업 베슬AI(대표 안재만)는 엔비디아 블랙웰(B200) GPU 1000장 이상을 확보했다고 밝혔다.베슬AI는 증가하는 AI 컴퓨팅 수요에 대응하기 위해 SK텔레콤과 협력해 확보한 고성능 GPU 자원을 ‘베슬 클라우드’를 통해 공급할 예정이다.
- 베슬 클라우드의 안정적인 컴퓨팅 자원 공급 역량을 강화할 수 있게 된 베슬AI는 연내 GPU 1만장, 내년 5만장의 100MW급 인프라를 확보한다는 계획이다.베슬 클라우드는 복수의 글로벌 데이터센터를 기반으로 A100, H100, B200 등 고성능 GPU를 온디",https://www.datanet.co.kr/news/articleView.html?idxno=213614,
동향,0807,"KOSA ESG위원회·마침표, 자립준비청년·국가봉사견 지원 맞손
- [데이터넷] 한국인공지능·소프트웨어산업협회 ESG위원회(위원장 박승애, 이하 KOSA ESG위원회)와 사단법인 마침표(이사장 이영, 이하 마침표)가 공익사업 발전과 사회적 가치 실현을 위한 업무협약(MOU)을 체결했다고 7일 밝혔다.
- 협약식에는 이영 마침표 이사장과 박승애 KOSA ESG위원회 위원장(지란지교소프트 대표)을 비롯한 양 기관 관계자들이 참석했다.KOSA ESG위원회는 AI·소프트웨어(SW) 기업에 특화된 ESG 경영 진단 서비스를 운영하는 등 회원사의 ESG 경영 인식 제고와 내재화를 지원하고 있다.마침표는 생명 존중",https://www.datanet.co.kr/news/articleView.html?idxno=213611,
동향,0807,"이스트시큐리티·퓨리오사에이아이, K-AI 보안 공동 개발
- [데이터넷] 이스트소프트의 보안 자회사 이스트시큐리티(대표 정상원)가 AI 반도체 기업 퓨리오사에이아이(대표 백준호)와 AI 보안 솔루션과 신경망처리장치(NPU)를 결합한 차세대 K-AI 보안 기술 개발에 나선다고 7일 밝혔다.양사는 ‘차세대 K-AI 보안 솔루션 개발 및 기술 협력을 위한 업무협약(MOU)’을 체결하고, AI 에이전트 기반의 ‘알약 EDR’ 등 AI 보안 솔루션과 퓨리오사에이아이의 AI 추론 가속기 기술을 결합해 국내외 AI 보안 시장 공략을 강화할 계획이다.이번 MOU를 통해 양사는 ▲핵심 솔루션 및 기술 융합을",https://www.datanet.co.kr/news/articleView.html?idxno=213613,
동향,0807,"클라우드플레어, AI 통합 가시성 제공하는 ‘신원 인식 AI 게이트웨이’ 출시
- [데이터넷] 클라우드플레어는 기업의 AI 활용 과정에서 발생하는 비용 관리와 보안 가시성 문제를 해결하기 위한 ‘신원 인식 AI 게이트웨이(Identity-Aware AI Gateway)’를 출시했다고 7일 밝혔다.
- 이 솔루션은 AI 요청을 사용자 또는 AI 에이전트의 신원과 연결해 누가 어떤 AI 서비스를 사용했고 어떤 데이터가 전송됐는지 실시간으로 파악할 수 있도록 지원한다.",https://www.datanet.co.kr/news/articleView.html?idxno=213612,
동향,0807,"“AI 데이터센터 경쟁력, GPU 아닌 운영 역량서 갈린다”
- [데이터넷] 대규모 AI 데이터센터의 경쟁력은 GPU 보유량만으로 결정되지 않는다.
- 수천장의 GPU를 하나의 클러스터로 연결하고, 막대한 전력과 발열을 통제하면서 중단 없이 운영하는 역량이 실제 AI 연산 성능을 좌우한다.NHN클라우드는 국내 최초 AI 전용 데이터센터인 광주 국가 AI데이터센터를 구축·운영하며 축적한 경험을 바탕으로 ‘NHN 팩토리엑스 서울(NHN FactoryX Seoul)’에 엔비디아 B200 GPU 7656장 규모의 클러스터를 수랭식으로 구축했다고 7일 밝혔다.이일준 NHN클라우드 이사는 “광주 국가 AI데이",https://www.datanet.co.kr/news/articleView.html?idxno=213605,
동향,0807,"[르포] 정부 GPU 7656장 운영 최전선…'NHN 팩토리X' 가보니
- 서울 영등포구에 위치한 NHN 팩토리X(NHN FactoryX) 서울 데이터센터 6층 데이터홀에 들어서자 검은색 그래픽처리장치(GPU) 랙이 일정한 간격을 두고 길게 줄지어 선 모습이 먼저 눈에 들어왔다.
- 수많은 장비가 돌아가는 '윙' 소리가 공간을 가득 채웠고, 벽면에서는 서늘한 바람이 끊임없이 불었다.",https://www.etnews.com/20260806000308,
